date,country,direction,spread_wave,spread_ave,activation_share,revenue_per_mw
2022-05-09T00:00:00Z,Poland,UP,NA,-5.890609623961229,NA,NA
2022-05-10T00:00:00Z,Poland,DOWN,NA,4.781223059107492,NA,NA
2022-05-10T00:00:00Z,Poland,UP,NA,-4.781223059107492,NA,NA
2022-05-11T00:00:00Z,Poland,DOWN,NA,-24.756734657362685,NA,NA
2022-05-11T00:00:00Z,Poland,UP,NA,24.756734657362685,NA,NA
2022-05-12T00:00:00Z,Poland,DOWN,NA,-5.001602009815373,NA,NA
2022-05-12T00:00:00Z,Poland,UP,NA,5.001602009815373,NA,NA
2022-05-13T00:00:00Z,Poland,DOWN,NA,3.5561856944530676,NA,NA
2022-05-13T00:00:00Z,Poland,UP,NA,-3.5561856944530676,NA,NA
2022-05-14T00:00:00Z,Poland,DOWN,NA,12.198956612357202,NA,NA
2022-05-14T00:00:00Z,Poland,UP,NA,-12.198956612357202,NA,NA
2022-05-15T00:00:00Z,Poland,DOWN,NA,14.714831998196116,NA,NA
2022-05-15T00:00:00Z,Poland,UP,NA,-14.714831998196116,NA,NA
2022-05-16T00:00:00Z,Poland,DOWN,NA,15.164800116862263,NA,NA
2022-05-16T00:00:00Z,Poland,UP,NA,-15.164800116862263,NA,NA
2022-05-17T00:00:00Z,Poland,DOWN,NA,37.99412460768164,NA,NA
2022-05-17T00:00:00Z,Poland,UP,NA,-37.99412460768164,NA,NA
2022-05-18T00:00:00Z,Poland,DOWN,NA,13.845223012745787,NA,NA
2022-05-18T00:00:00Z,Poland,UP,NA,-13.845223012745787,NA,NA
2022-05-19T00:00:00Z,Poland,DOWN,NA,11.863514069240745,NA,NA
2022-05-19T00:00:00Z,Poland,UP,NA,-11.863514069240745,NA,NA
2022-05-20T00:00:00Z,Poland,DOWN,NA,-9.400356200094715,NA,NA
2022-05-20T00:00:00Z,Poland,UP,NA,9.400356200094715,NA,NA
2022-05-21T00:00:00Z,Poland,DOWN,NA,-5.640805515524057,NA,NA
2022-05-21T00:00:00Z,Poland,UP,NA,5.640805515524057,NA,NA
2022-05-22T00:00:00Z,Poland,DOWN,NA,12.105207052733741,NA,NA
2022-05-22T00:00:00Z,Poland,UP,NA,-12.105207052733741,NA,NA
2022-05-23T00:00:00Z,Poland,DOWN,NA,-6.792235859069856,NA,NA
2022-05-23T00:00:00Z,Poland,UP,NA,6.792235859069856,NA,NA
2022-05-24T00:00:00Z,Poland,DOWN,NA,1.0401832354438132,NA,NA
2022-05-24T00:00:00Z,Poland,UP,NA,-1.0401832354438132,NA,NA
2022-05-25T00:00:00Z,Poland,DOWN,NA,-13.526112510082413,NA,NA
2022-05-25T00:00:00Z,Poland,UP,NA,13.526112510082413,NA,NA
2022-05-26T00:00:00Z,Poland,DOWN,NA,-2.273533803373689,NA,NA
2022-05-26T00:00:00Z,Poland,UP,NA,2.273533803373689,NA,NA
2022-05-27T00:00:00Z,Poland,DOWN,NA,1.7703918816584,NA,NA
2022-05-27T00:00:00Z,Poland,UP,NA,-1.7703918816584,NA,NA
2022-05-28T00:00:00Z,Poland,DOWN,NA,10.848353215123428,NA,NA
2022-05-28T00:00:00Z,Poland,UP,NA,-10.848353215123428,NA,NA
2022-05-29T00:00:00Z,Poland,DOWN,NA,3.7320118211705253,NA,NA
2022-05-29T00:00:00Z,Poland,UP,NA,-3.7320118211705253,NA,NA
2022-05-30T00:00:00Z,Poland,DOWN,NA,-1.093739219382022,NA,NA
2022-05-30T00:00:00Z,Poland,UP,NA,1.093739219382022,NA,NA
2022-05-31T00:00:00Z,Poland,DOWN,NA,-6.366313031788079,NA,NA
2022-05-31T00:00:00Z,Poland,UP,NA,6.366313031788079,NA,NA
2022-06-01T00:00:00Z,Poland,DOWN,NA,5.134355808492034,NA,NA
2022-06-01T00:00:00Z,Poland,UP,NA,-5.134355808492034,NA,NA
2022-06-02T00:00:00Z,Poland,DOWN,NA,1.5882572200260743,NA,NA
2022-06-02T00:00:00Z,Poland,UP,NA,-1.5882572200260743,NA,NA
2022-06-03T00:00:00Z,Poland,DOWN,NA,31.194895203806112,NA,NA
2022-06-03T00:00:00Z,Poland,UP,NA,-31.194895203806112,NA,NA
